valuation_date,underlying,option_ticker,expiry,tau_years,option_type,strike,spot,implied_vol,mid_price,volume,open_interest
2026-03-28,SPX Index,SPXW US 04/17/26 C2600 Index,2026-04-17,0.0547945205479452,C,2600.0,6368.85,1.348935,3757.95,0.0,22
2026-03-28,SPX Index,SPXW US 04/17/26 P2600 Index,2026-04-17,0.0547945205479452,P,2600.0,6368.85,1.2988149999999998,0.6,44.0,666
2026-03-28,SPX Index,SPX US 04/17/26 C2700 Index,2026-04-17,0.0547945205479452,C,2700.0,6368.85,1.169148,3659.2,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P2700 Index,2026-04-17,0.0547945205479452,P,2700.0,6368.85,1.200839,0.35,20.0,6995
2026-03-28,SPX Index,SPX US 04/17/26 C2800 Index,2026-04-17,0.0547945205479452,C,2800.0,6368.85,1.117979,3559.4,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P2800 Index,2026-04-17,0.0547945205479452,P,2800.0,6368.85,1.2165089999999998,0.65,132.0,7044
2026-03-28,SPX Index,SPXW US 04/17/26 C2800 Index,2026-04-17,0.0547945205479452,C,2800.0,6368.85,1.225575,3558.5,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P2800 Index,2026-04-17,0.0547945205479452,P,2800.0,6368.85,1.213394,0.7,151.0,448
2026-03-28,SPX Index,SPX US 04/17/26 C2900 Index,2026-04-17,0.0547945205479452,C,2900.0,6368.85,1.100377,3459.7,30.0,30
2026-03-28,SPX Index,SPX US 04/17/26 P2900 Index,2026-04-17,0.0547945205479452,P,2900.0,6368.85,1.123924,0.425,439.0,6966
2026-03-28,SPX Index,SPX US 04/17/26 C3000 Index,2026-04-17,0.0547945205479452,C,3000.0,6368.85,1.077059,3360.0,7.0,238
2026-03-28,SPX Index,SPX US 04/17/26 P3000 Index,2026-04-17,0.0547945205479452,P,3000.0,6368.85,1.088435,0.475,212.0,12022
2026-03-28,SPX Index,SPXW US 04/17/26 C3000 Index,2026-04-17,0.0547945205479452,C,3000.0,6368.85,1.215854,3359.55,14.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3000 Index,2026-04-17,0.0547945205479452,P,3000.0,6368.85,1.0732460000000001,0.45,67.0,600
2026-03-28,SPX Index,SPX US 04/17/26 C3100 Index,2026-04-17,0.0547945205479452,C,3100.0,6368.85,1.067361,3260.4,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3100 Index,2026-04-17,0.0547945205479452,P,3100.0,6368.85,1.052929,0.525,1.0,5947
2026-03-28,SPX Index,SPX US 04/17/26 C3200 Index,2026-04-17,0.0547945205479452,C,3200.0,6368.85,1.036031,3160.7,2.0,6
2026-03-28,SPX Index,SPX US 04/17/26 P3200 Index,2026-04-17,0.0547945205479452,P,3200.0,6368.85,1.025162,0.625,59.0,7486
2026-03-28,SPX Index,SPXW US 04/17/26 C3200 Index,2026-04-17,0.0547945205479452,C,3200.0,6368.85,1.101051,3159.75,1.0,1
2026-03-28,SPX Index,SPXW US 04/17/26 P3200 Index,2026-04-17,0.0547945205479452,P,3200.0,6368.85,1.015573,0.625,48.0,822
2026-03-28,SPX Index,SPX US 04/17/26 C3300 Index,2026-04-17,0.0547945205479452,C,3300.0,6368.85,1.003968,3061.0,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3300 Index,2026-04-17,0.0547945205479452,P,3300.0,6368.85,0.9958023,0.725,60.0,6810
2026-03-28,SPX Index,SPXW US 04/17/26 C3300 Index,2026-04-17,0.0547945205479452,C,3300.0,6368.85,1.050077,3060.15,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3300 Index,2026-04-17,0.0547945205479452,P,3300.0,6368.85,0.9958025,0.8,1.0,416
2026-03-28,SPX Index,SPX US 04/17/26 C3400 Index,2026-04-17,0.0547945205479452,C,3400.0,6368.85,0.9816277,2961.4,2.0,7
2026-03-28,SPX Index,SPX US 04/17/26 P3400 Index,2026-04-17,0.0547945205479452,P,3400.0,6368.85,0.970591,0.875,30.0,5744
2026-03-28,SPX Index,SPXW US 04/17/26 C3400 Index,2026-04-17,0.0547945205479452,C,3400.0,6368.85,1.029516,2960.45,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3400 Index,2026-04-17,0.0547945205479452,P,3400.0,6368.85,0.9643611,0.9,222.0,945
2026-03-28,SPX Index,SPX US 04/17/26 C3450 Index,2026-04-17,0.0547945205479452,C,3450.0,6368.85,0.9692483,2911.6,4.0,2
2026-03-28,SPX Index,SPX US 04/17/26 P3450 Index,2026-04-17,0.0547945205479452,P,3450.0,6368.85,0.9548663000000001,0.925,15.0,3091
2026-03-28,SPX Index,SPX US 04/17/26 C3500 Index,2026-04-17,0.0547945205479452,C,3500.0,6368.85,0.9562705,2861.8,0.0,2
2026-03-28,SPX Index,SPX US 04/17/26 P3500 Index,2026-04-17,0.0547945205479452,P,3500.0,6368.85,0.9435334000000001,1.025,200.0,4698
2026-03-28,SPX Index,SPXW US 04/17/26 C3500 Index,2026-04-17,0.0547945205479452,C,3500.0,6368.85,1.021169,2861.3,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3500 Index,2026-04-17,0.0547945205479452,P,3500.0,6368.85,0.9370469,1.05,65.0,1413
2026-03-28,SPX Index,SPX US 04/17/26 C3550 Index,2026-04-17,0.0547945205479452,C,3550.0,6368.85,0.9427985,2812.0,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3550 Index,2026-04-17,0.0547945205479452,P,3550.0,6368.85,0.9272338000000001,1.075,1004.0,2835
2026-03-28,SPX Index,SPX US 04/17/26 C3600 Index,2026-04-17,0.0547945205479452,C,3600.0,6368.85,0.928918,2762.2,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3600 Index,2026-04-17,0.0547945205479452,P,3600.0,6368.85,0.9149434,1.175,8.0,5602
2026-03-28,SPX Index,SPXW US 04/17/26 C3600 Index,2026-04-17,0.0547945205479452,C,3600.0,6368.85,0.952653,2761.3,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3600 Index,2026-04-17,0.0547945205479452,P,3600.0,6368.85,0.9083837,1.2,199.0,1341
2026-03-28,SPX Index,SPX US 04/17/26 C3650 Index,2026-04-17,0.0547945205479452,C,3650.0,6368.85,0.9147348,2712.4,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3650 Index,2026-04-17,0.0547945205479452,P,3650.0,6368.85,0.9021281000000001,1.275,14.0,2532
2026-03-28,SPX Index,SPX US 04/17/26 C3700 Index,2026-04-17,0.0547945205479452,C,3700.0,6368.85,0.9001631999999999,2662.6,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3700 Index,2026-04-17,0.0547945205479452,P,3700.0,6368.85,0.8887503,1.375,210.0,4156
2026-03-28,SPX Index,SPXW US 04/17/26 C3700 Index,2026-04-17,0.0547945205479452,C,3700.0,6368.85,0.9347526,2661.75,1.0,1
2026-03-28,SPX Index,SPXW US 04/17/26 P3700 Index,2026-04-17,0.0547945205479452,P,3700.0,6368.85,0.8854751000000001,1.45,104.0,1408
2026-03-28,SPX Index,SPX US 04/17/26 C3750 Index,2026-04-17,0.0547945205479452,C,3750.0,6368.85,0.8853147,2612.8,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3750 Index,2026-04-17,0.0547945205479452,P,3750.0,6368.85,0.8734126999999999,1.45,2.0,2379
2026-03-28,SPX Index,SPX US 04/17/26 C3800 Index,2026-04-17,0.0547945205479452,C,3800.0,6368.85,0.8758593,2563.1,0.0,2
2026-03-28,SPX Index,SPX US 04/17/26 P3800 Index,2026-04-17,0.0547945205479452,P,3800.0,6368.85,0.8594501,1.55,72.0,6530
2026-03-28,SPX Index,SPXW US 04/17/26 C3800 Index,2026-04-17,0.0547945205479452,C,3800.0,6368.85,0.9048858,2562.25,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3800 Index,2026-04-17,0.0547945205479452,P,3800.0,6368.85,0.8615298,1.725,33.0,1744
2026-03-28,SPX Index,SPX US 04/17/26 C3850 Index,2026-04-17,0.0547945205479452,C,3850.0,6368.85,0.8604238,2513.3,0.0,3
2026-03-28,SPX Index,SPX US 04/17/26 P3850 Index,2026-04-17,0.0547945205479452,P,3850.0,6368.85,0.848067,1.7,1.0,2216
2026-03-28,SPX Index,SPX US 04/17/26 C3900 Index,2026-04-17,0.0547945205479452,C,3900.0,6368.85,0.8494728,2463.6,0.0,23
2026-03-28,SPX Index,SPX US 04/17/26 P3900 Index,2026-04-17,0.0547945205479452,P,3900.0,6368.85,0.8334287,1.8,15.0,4752
2026-03-28,SPX Index,SPXW US 04/17/26 C3900 Index,2026-04-17,0.0547945205479452,C,3900.0,6368.85,0.8741428,2462.75,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3900 Index,2026-04-17,0.0547945205479452,P,3900.0,6368.85,0.8331993,1.95,117.0,2348
2026-03-28,SPX Index,SPX US 04/17/26 C3950 Index,2026-04-17,0.0547945205479452,C,3950.0,6368.85,0.8335835,2413.8,0.0,45
2026-03-28,SPX Index,SPX US 04/17/26 P3950 Index,2026-04-17,0.0547945205479452,P,3950.0,6368.85,0.8210326000000001,1.95,1.0,2666
2026-03-28,SPX Index,SPXW US 04/17/26 C3950 Index,2026-04-17,0.0547945205479452,C,3950.0,6368.85,0.8584936000000001,2413.0,0.0,0
2026-03-28,SPX Index,SPXW US 04/17/26 P3950 Index,2026-04-17,0.0547945205479452,P,3950.0,6368.85,0.8215008,2.125,8.0,15
2026-03-28,SPX Index,SPX US 04/17/26 C3975 Index,2026-04-17,0.0547945205479452,C,3975.0,6368.85,0.8255776,2388.9,0.0,0
2026-03-28,SPX Index,SPX US 04/17/26 P3975 Index,2026-04-17,0.0547945205479452,P,3975.0,6368.85,0.8158089,2.05,23.0,1066
2026-03-28,SPX Index,SPX US 04/17/26 C4000 Index,2026-04-17,0.0547945205479452,C,4000.0,6368.85,0.8217015000000001,2364.1,1.0,106
2026-03-28,SPX Index,SPX US 04/17/26 P4000 Index,2026-04-17,0.0547945205479452,P,4000.0,6368.85,0.80927,2.125,27.0,17034
2026-03-28,SPX Index,SPXW US 04/17/26 C4000 Index,2026-04-17,0.0547945205479452,C,4000.0,6368.85,0.8427819,2363.25,120.0,123
2026-03-28,SPX Index,SPXW US 04/17/26 P4000 Index,2026-04-17,0.0547945205479452,P,4000.0,6368.85,0.8070422,2.25,102.0,2145
2026-03-28,SPX Index,SPX US 04/17/26 C4025 Index,2026-04-17,0.0547945205479452,C,4025.0,6368.85,0.8135607,2339.2,0.0,1
2026-03-28,SPX Index,SPX US 04/17/26 P4025 Index,2026-04-17,0.0547945205479452,P,4025.0,6368.85,0.8026282,2.2,71.0,991
